56,q15f,"q15f. [Immigrants today think of themselves as Americans just as much as immigrants from earlier eras did] As I read some statements on a few different topics, please tell me if you completely or mostly agree, mostly or completely disagree. "
57,q16rot,
58,q16a,"q16a. [Alcoholism and alcohol abuse.] Thinking about some of the problems facing communities in the U.S. today, please say whether any of the following are problems in your own community. "
59,q16b,"q16b. [Drug abuse and addiction.] Thinking about some of the problems facing communities in the U.S. today, please say whether any of the following are problems in your own community. "
60,q16c,"q16c. [Hunger and poverty.] Thinking about some of the problems facing communities in the U.S. today, please say whether any of the following are problems in your own community. "
61,q17,"q17. Looking ahead, do you think the quality of life in your local community will likely get better, get worse or stay about the same?"
62,weight,
63,state,
64,metro,
65,region,
66,division,
67,ownhome,ownhome. Is your home owned or rented?
68,marital,marital. Are you ...?
69,employ,Employment Status
70,hhnum,"hhnum. Including yourself, how many people are there living in your household?"
71,adults,"adults. How many of these are adults, 18 or older?"
72,kids1217,kids1217. How many are children 12 to 17?
73,kids611,kids611. How many are children 6 to 11?
74,kids06,kids06. How many are children under 6?
75,parent,parent. Are you the parent or guardian of anyone under 18 in your household?
76,age,age. What is your age?
77,age2,age2.  Could you please tell me if you are ...?
78,educ2,educ2. What is the highest level of school you have completed or the highest degree you have received?
79,educ,RECODED INTO OLD FORMAT EDUC. What is the last grade of school you completed?
80,income,"income. Is your total annual household income from all sources, and before taxes ...?"
81,race,Race of Respondent
82,partyrot,Party rotate
83,party,"party. Generally speaking, do you usually think of yourself as:"
84,ideorot,
85,ideo,"ideo. Generally speaking, would you describe your political views as ...?"
86,regist,regist. Are you registered to vote at your present address or not?
87,c3a,"C-3a. How many telephone numbers does your household have that I could have reached you on? Not extensions, but different telephone numbers, not counting cell phones?"
88,sex,Enter Sex of Respondent
89,ident,ident
90,l1,"L1. Now thinking about your telephone use ... Does anyone in your household, including yourself, have a working cell phone?"
91,l2a,"L2.  Of all the telephone calls that you and the other people in your household receive, are  ...?"
92,c1,"C1. Now thinking about your telephone use, is there at least one telephone INSIDE your home that is currently working and is not a cell phone?"
93,c2,"C2. Of all the telephone calls that you and the other people in your household receive, are ... ?"
94,c1a,C1a.  How many different cell phone numbers do you personally answer calls on?
95,usborn,"usborn. Were you born in the United States, the island of Puerto Rico, or in another country?"
96,uslive,uslive. How many years have you lived in the United States?
97,relig,"RELIG. What is your present religion, if any? Are you Protestant, Roman Catholic, Mormon, Orthodox such as Greek or Russian Orthodox, Jewish, Muslim, Buddhist, Hindu, atheist, agnostic, something else, or nothing in particular?"
98,religopen,"RELIG.  What is your religion, if any?"
99,RELIG0,"RELIG.  What is your religion, if any?"
100,RELIG1,"RELIG.  What is your religion, if any?"
101,RELIG2,"RELIG.  What is your religion, if any?"
102,RELIG3,"RELIG.  What is your religion, if any?"
103,RELIG4,"RELIG.  What is your religion, if any?"
104,RELIG5,"RELIG.  What is your religion, if any?"
105,RELIG6,"RELIG.  What is your religion, if any?"
106,RELIG7,"RELIG.  What is your religion, if any?"
107,RELIG8,"RELIG.  What is your religion, if any?"
108,RELIG9,"RELIG.  What is your religion, if any?"
109,denom,"DENOM. As far as your present religion goes, what denomination or church, if any, do you identify with most closely? Just stop me when I get to the right one. Are you ...?"
110,denomopen,"DENOM. As far as your present religion goes, what denomination or church, if any, do you identify with most closely?"
111,DENOM0,"DENOM. As far as your present religion goes, what denomination or church, if any, do you identify with most closely?"
112,DENOM1,"DENOM. As far as your present religion goes, what denomination or church, if any, do you identify with most closely?"
113,DENOM2,"DENOM. As far as your present religion goes, what denomination or church, if any, do you identify with most closely?"
114,DENOM3,"DENOM. As far as your present religion goes, what denomination or church, if any, do you identify with most closely?"
115,DENOM4,"DENOM. As far as your present religion goes, what denomination or church, if any, do you identify with most closely?"
116,DENOM5,"DENOM. As far as your present religion goes, what denomination or church, if any, do you identify with most closely?"
117,DENOM6,"DENOM. As far as your present religion goes, what denomination or church, if any, do you identify with most closely?"
118,DENOM7,"DENOM. As far as your present religion goes, what denomination or church, if any, do you identify with most closely?"
119,DENOM8,"DENOM. As far as your present religion goes, what denomination or church, if any, do you identify with most closely?"
120,DENOM9,"DENOM. As far as your present religion goes, what denomination or church, if any, do you identify with most closely?"
121,born,"BORN. Would you describe yourself as a 'born-again' or 'Evangelical Christian', or not?"
122,jewid,JEWID. Do you consider yourself to be Jewish for any reason?
123,secular,"SECULAR. In general would you describe yourself more as a religious person or as a secular person, that is, someone who is NOT religious?"
124,jdenom,"JDENOM.  Thinking about Jewish religious denominations, do you consider yourself to be . . . ?"
125,year,
126,demh1,HE-1. Do you have health insurance?
127,demh2,HE-2. How do you obtain your health insurance? Is it ... ?
128,date,
129,class,"CLASS If you were asked to use one of these five names for your social class, which would you say you belong in?"
130,jobpay,JOBPAY Which of the following best describes how you (got/get) paid at work?
